Ticker,Name
A,"AGILENT TECHNOLOGIES, INC. (XNYS:A)"
AAL,AMERICAN AIRLINES GROUP INC. (XNAS:AAL)
AAP,"ADVANCE AUTO PARTS, INC. (XNYS:AAP)"
AAPL,APPLE INC. (XNAS:AAPL)
ABBV,ABBVIE INC. (XNYS:ABBV)
ABC,ADBRI LIMITED (XASX:ABC)
ABMD,ABMD
ABT,ABBOTT LABORATORIES (XNYS:ABT)
ACN,ACCENTURE PUBLIC LIMITED COMPANY (XNYS:ACN)
ADBE,ADOBE INC. (XNAS:ADBE)
ADI,"ANALOG DEVICES, INC. (XNAS:ADI)"
ADM,ARCHER-DANIELS-MIDLAND COMPANY. (XNYS:ADM)
ADP,"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)"
ADSK,"AUTODESK, INC. (XNAS:ADSK)"
AEE,AMEREN CORPORATION (XNYS:AEE)
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC. (XNAS:AEP)"
AES,THE AES CORPORATION (XNYS:AES)
AFL,AFLAC INCORPORATED (XNYS:AFL)
AIG,"AMERICAN INTERNATIONAL GROUP, INC. (XNYS:AIG)"
AIV,APARTMENT INVESTMENT AND MANAGEMENT COMPANY (XNYS:AIV)
AIZ,"ASSURANT, INC. (XNYS:AIZ)"
AJG,ARTHUR J. GALLAGHER & CO. (XNYS:AJG)
AKAM,"AKAMAI TECHNOLOGIES, INC. (XNAS:AKAM)"
ALB,ALBEMARLE CORPORATION (XNYS:ALB)
ALGN,"ALIGN TECHNOLOGY, INC. (XNAS:ALGN)"
ALK,"ALASKA AIR GROUP, INC. (XNYS:ALK)"
ALL,THE ALLSTATE CORPORATION (XNYS:ALL)
ALLE,ALLEGION PUBLIC LIMITED COMPANY (XNYS:ALLE)
ALXN,ALXN
AMAT,"APPLIED MATERIALS, INC. (XNAS:AMAT)"
AMCR,Amcor plc (XNYS:AMCR)
AMD,"ADVANCED MICRO DEVICES, INC. (XNAS:AMD)"
AME,"AMETEK, INC. (XNYS:AME)"
AMGN,AMGEN INC. (XNAS:AMGN)
AMP,AMP LIMITED (XASX:AMP)
AMT,AMERICAN TOWER CORPORATION (XNYS:AMT)
AMZN,"AMAZON.COM, INC. (XNAS:AMZN)"
ANET,"ARISTA NETWORKS, INC. (XNYS:ANET)"
ANSS,"ANSYS, INC. (XNAS:ANSS)"
ANTM,PT Aneka Tambang Tbk (XIDX:ANTM)
AON,Aon plc (XNYS:AON)
AOS,A. O. SMITH CORPORATION (XNYS:AOS)
APA,APA CORPORATION (XNAS:APA)
APD,"AIR PRODUCTS AND CHEMICALS, INC. (XNYS:APD)"
APH,AMPHENOL CORPORATION (XNYS:APH)
APTV,APTIV PLC (XNYS:APTV)
ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC. (XNYS:ARE)"
ATO,ATMOS ENERGY CORPORATION (XNYS:ATO)
ATVI,"ACTIVISION BLIZZARD, INC. (XMEX:ATVI*)"
AVB,"AVALONBAY COMMUNITIES, INC. (XNYS:AVB)"
AVGO,Broadcom Inc. (XNAS:AVGO)
AVY,AVERY DENNISON CORPORATION (XNYS:AVY)
AWK,"AMERICAN WATER WORKS COMPANY, INC. (XNYS:AWK)"
AXP,AMERICAN EXPRESS COMPANY (XNYS:AXP)
AZO,"AUTOZONE, INC. (XNYS:AZO)"
BA,THE BOEING COMPANY (XNYS:BA)
BAC,BANK OF AMERICA CORPORATION (XNYS:BAC)
BAX,BAXTER INTERNATIONAL INC. (XNYS:BAX)
BBY,"Best Buy Co., Inc. (XNYS:BBY)"
BDX,"BECTON, DICKINSON AND COMPANY (XNYS:BDX)"
BEN,"FRANKLIN RESOURCES, INC. (XNYS:BEN)"
BF.B,BROWN-FORMAN CORPORATION (XNYS:BF.B)
BIIB,BIOGEN INC. (XNAS:BIIB)
BIO,"BIO-RAD LABORATORIES, INC. (XNYS:BIO)"
BK,THE BANK OF NEW YORK MELLON CORPORATION (XNYS:BK)
BKNG,BOOKING HOLDINGS INC. (XNAS:BKNG)
BKR,BAKER HUGHES COMPANY (XNAS:BKR)
BLK,"BLACKROCK, INC. (XNYS:BLK)"
BLL,BLL
BMY,BRISTOL-MYERS SQUIBB COMPANY (XNYS:BMY)
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC. (XNYS:BR)"
BRK.B,"BERKSHIRE HATHAWAY INC., (XNYS:BRK.B)"
BSX,BOSTON SCIENTIFIC CORPORATION (XNYS:BSX)
BWA,BORGWARNER INC. (XNYS:BWA)
BXP,"BOSTON PROPERTIES, INC. (XNYS:BXP)"
C,CITIGROUP INC. (XNYS:C)
CAG,"CONAGRA BRANDS, INC. (XNYS:CAG)"
CAH,"CARDINAL HEALTH, INC. (XNYS:CAH)"
CARR,CARRIER GLOBAL CORPORATION (XNYS:CARR)
CAT,CATERPILLAR INC. (XNYS:CAT)
CB,Chubb Ltd (XNYS:CB)
CBOE,"Cboe Global Markets, Inc. (BATS:CBOE)"
CBRE,"CBRE GROUP, INC. (XNYS:CBRE)"
CCI,CROWN CASTLE INC. (XNYS:CCI)
CCL,Carnival Corp (XNYS:CCL)
CDNS,"CADENCE DESIGN SYSTEMS, INC. (XNAS:CDNS)"
CDW,CDW CORPORATION (XNAS:CDW)
CE,CELANESE CORPORATION (XNYS:CE)
CERN,CERN
CF,"CF INDUSTRIES HOLDINGS, INC. (XNYS:CF)"
CFG,"CITIZENS FINANCIAL GROUP, INC. (XNYS:CFG)"
CHD,"CHURCH & DWIGHT CO., INC. (XNYS:CHD)"
CHRW,"C.H. ROBINSON WORLDWIDE, INC. (XNAS:CHRW)"
CHTR,"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)"
CI,THE CIGNA GROUP (XNYS:CI)
CINF,CINCINNATI FINANCIAL CORPORATION (XNAS:CINF)
CL,COLGATE-PALMOLIVE COMPANY (XNYS:CL)
CLX,THE CLOROX COMPANY (XNYS:CLX)
CMA,COMERICA INCORPORATED (XNYS:CMA)
CMCSA,COMCAST CORPORATION (XNAS:CMCSA)
CME,CME GROUP INC. (XNAS:CME)
CMG,"CHIPOTLE MEXICAN GRILL, INC. (XNYS:CMG)"
CMI,CUMMINS INC. (XNYS:CMI)
CMS,CMS ENERGY CORPORATION (XNYS:CMS)
CNC,CENTENE CORPORATION (XNYS:CNC)
CNP,"CENTERPOINT ENERGY, INC. (XNYS:CNP)"
COF,CAPITAL ONE FINANCIAL CORPORATION (XNYS:COF)
COG,Cognor Holding S.A. (XWAR:COG)
COO,"THE COOPER COMPANIES, INC. (XNAS:COO)"
COP,CONOCOPHILLIPS (XNYS:COP)
COST,COSTCO WHOLESALE CORPORATION (XNAS:COST)
COTY,COTY INC. (XNYS:COTY)
CPB,CAMPBELL SOUP COMPANY (XNYS:CPB)
CPRT,"COPART, INC. (XNAS:CPRT)"
CRM,"SALESFORCE, INC. (XNYS:CRM)"
CSCO,"CISCO SYSTEMS, INC. (XNAS:CSCO)"
CSX,CSX Corporation (XNAS:CSX)
CTAS,CINTAS CORPORATION (XNAS:CTAS)
CTL,CAPITAL TRADE LINKS LIMITED (XBOM:538476)
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION (XNAS:CTSH)
CTVA,"CORTEVA, INC. (XNYS:CTVA)"
CTXS,CTXS
CVS,CVS HEALTH CORPORATION (XNYS:CVS)
CVX,CHEVRON CORPORATION (XNYS:CVX)
CXO,CORE LITHIUM LTD (XASX:CXO)
D,"Dominion Energy, Inc. (XNYS:D)"
DAL,Dalaroo Metals Ltd (XASX:DAL)
DD,"DuPont de Nemours, Inc. (XNYS:DD)"
DE,DEERE & COMPANY (XNYS:DE)
DFS,DISCOVER FINANCIAL SERVICES (XNYS:DFS)
DG,DOLLAR GENERAL CORPORATION (XNYS:DG)
DGX,QUEST DIAGNOSTICS INCORPORATED (XNYS:DGX)
DHI,"D.R. HORTON, INC. (XNYS:DHI)"
DHR,DANAHER CORPORATION (XNYS:DHR)
DIS,THE WALT DISNEY COMPANY (XNYS:DIS)
